2018-12-13 11:31:02,367 [3] Log_Level-ERROR, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is offline
2018-12-13 11:38:38,793 [3] Log_Level-ERROR, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is offline
2018-12-13 11:39:15,304 [3] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Multievent has reached size limit
2018-12-13 11:39:28,296 [3] Log_Level-ERROR, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is offline
2018-12-13 11:41:17,883 [3] Log_Level-ERROR, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is offline
2018-12-13 11:41:48,616 [3] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Multievent has reached size limit
2018-12-13 11:51:17,365 [3] Log_Level-ERROR, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is offline
2018-12-13 11:51:42,491 [3] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Multievent has reached size limit
2018-12-13 11:51:47,322 [3] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Multievent has reached size limit
2018-12-13 11:51:48,730 [3] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Multievent has reached size limit
2018-12-13 11:53:09,296 [3] Log_Level-ERROR, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is offline
2018-12-13 11:53:12,500 [3] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Multievent has reached size limit
2018-12-13 13:08:42,027 [3] Log_Level-ERROR, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is offline
2018-12-13 13:08:48,108 [3] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Multievent has reached size limit
2018-12-13 13:11:39,426 [3] Log_Level-ERROR, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is offline
2018-12-13 13:12:34,500 [3] Log_Level-ERROR, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is offline
2018-12-13 14:50:10,841 [3] Log_Level-ERROR, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is offline
2018-12-13 14:52:03,775 [3] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder FSAccess has reached size limit
2018-12-13 14:52:11,106 [3] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder FSAccess has reached size limit
2018-12-13 14:53:07,417 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:07,532 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:07,648 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:07,741 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:07,849 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:07,947 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:08,056 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:08,151 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:08,263 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:08,357 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:08,467 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:08,567 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:08,673 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:08,764 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:08,869 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:08,963 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:09,068 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:09,381 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
