2018-12-13 11:09:36,673 Thread number[1] Log_Level-DEBUG, File-LogSenderService.cs, Function-LogSenderServiceOnDebug, - Log Sender Service On Debug
2018-12-13 11:09:36,739 Thread number[1] Log_Level-DEBUG, File-LogSenderService.cs, Function-OnStart, - Log Sender Service OnStart Fucntion
2018-12-13 11:09:36,742 Thread number[1] Log_Level-DEBUG, File-ConfigFile.cs, Function-.ctor, - Log Sender Configuration file exist
2018-12-13 11:09:36,816 Thread number[1] Log_Level-DEBUG, File-LogSender.cs, Function-.ctor, - Start creating log sender class
2018-12-13 11:09:36,819 Thread number[1] Log_Level-DEBUG, File-LogSender.cs, Function-.ctor, - log sender class created
2018-12-13 11:09:36,829 Thread number[1] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Main Service thread started
2018-12-13 11:09:36,994 Thread number[1] Log_Level-DEBUG, File-ServerConnection.cs, Function-MoveNext, - check if server (http://10.0.0.40:8080) is alive
2018-12-13 11:09:37,562 Thread number[8] Log_Level-INFO, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is online
2018-12-13 11:09:37,587 Thread number[8] Log_Level-DEBUG, File-FileMaintenance.cs, Function-ZeroSizeFileCleanup, - Cleaning all zero size files in Multievent directory
2018-12-13 11:09:37,832 Thread number[8] Log_Level-WARN, File-FileMaintenance.cs, Function-IsFileLocked, - 13-12-18--11-08-54.mog file is in writing mode. cannot be access!
2018-12-13 11:09:37,836 Thread number[8] Log_Level-DEBUG, File-FolderWatcher.cs, Function-IsFolderReadyToSendWatcher, - Watching 'Multievent' folder
2018-12-13 11:09:37,838 Thread number[8] Log_Level-DEBUG, File-FolderWatcher.cs, Function-FolderSizeWatcher, - Watching size of 'Multievent' folder
2018-12-13 11:09:37,937 Thread number[8] Log_Level-WARN, File-FileMaintenance.cs, Function-IsFileLocked, - 13-12-18--11-08-54.mog file is in writing mode. cannot be access!
2018-12-13 11:09:37,938 Thread number[8] Log_Level-DEBUG, File-FolderWatcher.cs, Function-FolderSizeWatcher, - Folder size is 6426543 within the limit (104857600 bytes)
2018-12-13 11:09:37,941 Thread number[8] Log_Level-DEBUG, File-FolderWatcher.cs, Function-IsFolderReadyToSendWatcher, - There are files to send in Multievent folder
2018-12-13 11:09:37,942 Thread number[8] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Sending process can begin, creating sending process Task for Multievent log folder
2018-12-13 11:09:37,943 Thread number[8] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Task created for Multievent folder and started his operation
2018-12-13 11:09:37,944 Thread number[8] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Main thread is wating for all task to finish there operation
2018-12-13 11:09:37,945 Thread number[5] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Multievent Folder strating his sending process task
2018-12-13 11:09:37,948 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-ParseFolder, - Multieventfolder started his parsing process
2018-12-13 11:09:38,024 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-33-54.mog log file started his parsing process
2018-12-13 11:09:38,305 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-33-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:38,540 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-34-54.mog log file started his parsing process
2018-12-13 11:09:38,630 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-34-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:38,741 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-35-54.mog log file started his parsing process
2018-12-13 11:09:38,813 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-35-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:38,872 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-36-54.mog log file started his parsing process
2018-12-13 11:09:38,957 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-36-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:39,071 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-37-54.mog log file started his parsing process
2018-12-13 11:09:39,237 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-37-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:39,377 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-38-54.mog log file started his parsing process
2018-12-13 11:09:39,470 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-38-54.mog log file has successfuly finished his parsing process
